id,sueldo,estado_civil,num_hijos,ambito_laboral,genero,hipoteca
1,33795.0,soltero,0.0,tecnologia,mujer,si
2,18860.0,soltero,2.0,marketing,mujer,no
3,56158.0,casado,0.0,tecnologia,mujer,si
4,29284.0,soltero,0.0,educacion,mujer,si
5,24265.0,casado,0.0,,mujer,no
6,34850.0,soltero,0.0,finanzas,hombre,no
7,55194.0,soltero,2.0,sanidad,mujer,si
8,39962.0,soltero,0.0,educacion,mujer,si
9,34023.0,soltero,2.0,tecnologia,mujer,no
10,,soltero,0.0,,hombre,si
11,19685.0,,2.0,,mujer,no
12,18769.0,soltero,0.0,educacion,hombre,no
13,20433.0,soltero,0.0,tecnologia,mujer,si
14,23311.0,divorciado,1.0,educacion,hombre,no
15,55819.0,soltero,3.0,marketing,mujer,si
16,57188.0,soltero,2.0,,hombre,si
17,35568.0,casado,1.0,marketing,mujer,no
18,37769.0,casado,2.0,tecnologia,hombre,no
19,46693.0,soltero,0.0,sanidad,mujer,no
20,24396.0,soltero,3.0,educacion,mujer,no
21,45480.0,soltero,0.0,sanidad,mujer,si
22,59434.0,soltero,1.0,marketing,mujer,si
23,43658.0,divorciado,2.0,educacion,mujer,si
24,36942.0,casado,1.0,finanzas,mujer,si
25,36431.0,soltero,0.0,sanidad,mujer,si
26,20747.0,soltero,0.0,educacion,mujer,si
27,18189.0,divorciado,2.0,sanidad,hombre,si
28,37118.0,soltero,0.0,,mujer,si
29,,soltero,3.0,tecnologia,hombre,no
30,19899.0,casado,1.0,,mujer,no
31,,soltero,0.0,finanzas,mujer,si
32,49551.0,divorciado,1.0,finanzas,hombre,no
33,29394.0,divorciado,0.0,marketing,mujer,no
34,21556.0,casado,1.0,educacion,mujer,si
35,21890.0,soltero,1.0,sanidad,mujer,no
36,59606.0,casado,0.0,,mujer,no
37,48740.0,casado,0.0,sanidad,mujer,no
38,32502.0,soltero,2.0,educacion,hombre,si
39,39777.0,soltero,0.0,finanzas,hombre,no
40,,casado,1.0,,mujer,si
41,26792.0,casado,0.0,,mujer,no
42,26433.0,soltero,0.0,,mujer,no
43,29016.0,casado,0.0,,mujer,
44,41897.0,casado,0.0,marketing,mujer,no
45,20612.0,soltero,0.0,,mujer,no
46,41483.0,soltero,1.0,tecnologia,mujer,si
47,35159.0,soltero,0.0,marketing,hombre,si
48,58994.0,soltero,0.0,educacion,mujer,no
49,32541.0,soltero,0.0,,mujer,si
50,53920.0,soltero,,educacion,mujer,si
51,44531.0,soltero,0.0,,mujer,si
52,19585.0,casado,1.0,,mujer,si
53,21943.0,soltero,1.0,educacion,hombre,no
54,41939.0,casado,0.0,sanidad,mujer,no
55,,soltero,2.0,,hombre,no
56,,soltero,1.0,marketing,mujer,no
57,29653.0,soltero,0.0,educacion,mujer,no
58,31417.0,casado,2.0,sanidad,mujer,si
59,58757.0,soltero,3.0,sanidad,mujer,no
60,27692.0,divorciado,0.0,finanzas,hombre,si
61,24873.0,soltero,0.0,marketing,hombre,no
62,,soltero,2.0,tecnologia,mujer,no
63,18161.0,divorciado,1.0,marketing,mujer,si
64,55065.0,,0.0,marketing,mujer,no
65,,soltero,1.0,,hombre,no
66,51763.0,soltero,2.0,,mujer,no
67,50606.0,soltero,1.0,finanzas,mujer,si
68,29534.0,casado,1.0,tecnologia,mujer,no
69,47127.0,soltero,2.0,educacion,mujer,no
70,58397.0,soltero,0.0,tecnologia,mujer,si
71,,soltero,0.0,finanzas,mujer,si
72,19016.0,casado,1.0,marketing,hombre,no
73,,soltero,2.0,,,si
74,42276.0,soltero,0.0,tecnologia,mujer,no
75,41247.0,casado,1.0,sanidad,hombre,no
76,,casado,1.0,,mujer,no
77,26529.0,soltero,0.0,educacion,hombre,
78,35262.0,soltero,1.0,,mujer,no
79,27268.0,soltero,2.0,educacion,mujer,si
80,39271.0,soltero,1.0,marketing,hombre,si
81,30185.0,soltero,0.0,tecnologia,mujer,no
82,39243.0,soltero,0.0,tecnologia,mujer,
83,57099.0,soltero,1.0,marketing,mujer,si
84,26571.0,soltero,0.0,tecnologia,mujer,no
85,57976.0,divorciado,0.0,tecnologia,mujer,si
86,,casado,0.0,,mujer,si
87,58774.0,soltero,0.0,finanzas,hombre,no
88,20568.0,divorciado,0.0,finanzas,mujer,no
89,20027.0,casado,0.0,sanidad,mujer,no
90,20695.0,soltero,0.0,educacion,mujer,si
91,23258.0,soltero,0.0,marketing,hombre,si
92,40002.0,soltero,1.0,marketing,mujer,si
93,57504.0,soltero,1.0,marketing,hombre,si
94,51159.0,soltero,0.0,,mujer,no
95,31986.0,soltero,2.0,finanzas,mujer,si
96,30666.0,soltero,0.0,sanidad,mujer,si
97,56660.0,divorciado,1.0,marketing,mujer,no
98,21561.0,casado,1.0,educacion,mujer,no
99,44854.0,soltero,3.0,tecnologia,mujer,no
100,56952.0,divorciado,1.0,finanzas,hombre,si
101,40662.0,divorciado,1.0,finanzas,mujer,si
102,26392.0,divorciado,1.0,sanidad,mujer,si
103,,soltero,0.0,,mujer,si
104,31067.0,casado,0.0,marketing,mujer,no
105,41599.0,soltero,1.0,,,no
106,,casado,0.0,sanidad,mujer,no
107,29837.0,divorciado,1.0,marketing,mujer,no
108,,casado,0.0,educacion,mujer,si
109,48818.0,casado,0.0,sanidad,mujer,no
110,37115.0,casado,0.0,educacion,mujer,si
111,28965.0,casado,0.0,tecnologia,hombre,no
112,42538.0,soltero,1.0,,hombre,no
113,23056.0,soltero,0.0,tecnologia,mujer,si
114,50482.0,soltero,0.0,,hombre,si
115,26110.0,casado,0.0,,mujer,
116,31773.0,soltero,0.0,sanidad,mujer,si
117,45266.0,soltero,1.0,marketing,mujer,si
118,35412.0,soltero,0.0,marketing,mujer,si
119,51270.0,soltero,1.0,tecnologia,mujer,no
120,24910.0,casado,1.0,tecnologia,hombre,no
121,,,1.0,sanidad,mujer,no
122,18206.0,soltero,1.0,finanzas,mujer,si
123,39518.0,divorciado,2.0,,mujer,no
124,40361.0,soltero,3.0,,hombre,si
125,41419.0,,0.0,marketing,mujer,no
126,,casado,0.0,,mujer,no
127,40403.0,soltero,,educacion,mujer,si
128,36141.0,soltero,0.0,,mujer,si
129,32820.0,casado,1.0,educacion,hombre,si
130,58342.0,soltero,2.0,educacion,hombre,si
131,24374.0,soltero,0.0,tecnologia,mujer,si
132,19678.0,soltero,0.0,,hombre,no
133,51827.0,soltero,0.0,,mujer,no
134,,soltero,1.0,marketing,hombre,si
135,27914.0,soltero,1.0,,mujer,si
136,45890.0,casado,0.0,,mujer,si
137,40299.0,casado,2.0,tecnologia,mujer,no
138,20693.0,casado,1.0,finanzas,mujer,si
139,47467.0,casado,0.0,marketing,mujer,no
140,47723.0,casado,1.0,,mujer,no
141,,soltero,1.0,sanidad,mujer,no
142,,soltero,0.0,,mujer,no
143,39834.0,soltero,0.0,sanidad,mujer,si
144,36047.0,soltero,0.0,sanidad,mujer,no
145,44105.0,soltero,0.0,finanzas,hombre,si
146,,soltero,2.0,marketing,mujer,si
147,33707.0,casado,2.0,,mujer,
148,39976.0,divorciado,0.0,sanidad,mujer,no
149,41776.0,soltero,0.0,tecnologia,hombre,no
150,,soltero,0.0,educacion,mujer,si
151,19306.0,soltero,0.0,,mujer,si
152,24776.0,divorciado,2.0,educacion,hombre,no
153,,divorciado,0.0,,hombre,si
154,27474.0,soltero,0.0,tecnologia,mujer,no
155,58294.0,casado,0.0,marketing,mujer,no
156,,soltero,1.0,sanidad,mujer,
157,23530.0,soltero,0.0,sanidad,hombre,si
158,47320.0,soltero,1.0,educacion,mujer,no
159,21748.0,soltero,0.0,finanzas,mujer,si
160,49968.0,divorciado,1.0,sanidad,hombre,no
161,50562.0,casado,1.0,marketing,mujer,no
162,31545.0,soltero,0.0,educacion,mujer,no
163,18663.0,casado,0.0,educacion,mujer,si
164,52766.0,divorciado,2.0,,mujer,no
165,25994.0,divorciado,2.0,,mujer,si
166,,soltero,0.0,marketing,mujer,si
167,48303.0,soltero,0.0,,mujer,si
168,21304.0,soltero,2.0,marketing,mujer,no
169,57353.0,,1.0,marketing,hombre,no
170,35675.0,soltero,0.0,tecnologia,mujer,no
171,41938.0,soltero,2.0,educacion,hombre,si
172,41664.0,soltero,0.0,,mujer,si
173,19636.0,soltero,1.0,,hombre,no
174,38080.0,soltero,0.0,,hombre,si
175,45728.0,soltero,0.0,,mujer,no
176,,soltero,0.0,,mujer,no
177,46673.0,soltero,1.0,,hombre,no
178,55505.0,soltero,0.0,,mujer,no
179,,soltero,0.0,,mujer,no
180,42548.0,soltero,0.0,marketing,mujer,
181,56623.0,soltero,0.0,tecnologia,hombre,si
182,25392.0,soltero,3.0,,hombre,no
183,39556.0,soltero,0.0,finanzas,hombre,no
184,56559.0,soltero,1.0,,mujer,si
185,44309.0,divorciado,2.0,sanidad,hombre,si
186,39919.0,soltero,0.0,sanidad,mujer,si
187,22931.0,soltero,0.0,tecnologia,mujer,no
188,50970.0,divorciado,0.0,,mujer,no
189,30688.0,soltero,0.0,sanidad,mujer,no
190,43342.0,casado,0.0,marketing,mujer,si
191,55157.0,soltero,0.0,,mujer,no
192,20327.0,soltero,1.0,marketing,mujer,no
193,58772.0,soltero,0.0,educacion,mujer,
194,,casado,0.0,,mujer,si
195,18197.0,soltero,1.0,sanidad,mujer,si
196,,,0.0,,mujer,si
197,52698.0,soltero,2.0,marketing,mujer,no
198,,casado,1.0,sanidad,mujer,no
199,40671.0,soltero,0.0,,mujer,no
200,43184.0,casado,1.0,,mujer,si
